"games_before_purchase","balance_before_purchase","purchase_type"
2,0,"iap"
26,45,"iap"
4,20,"iap"
4,495,"iap"
2,175,"iap"
14,0,"iap"
234,128,"iap"
2,70,"iap"
4,35,"iap"
3,360,"iap"
13,320,"iap"
9,60,"iap"
5,15,"iap"
19,10,"iap"
26,585,"iap"
5,110,"iap"
2,235,"iap"
6,20,"iap"
3,10,"iap"
24,95,"iap"
6,100,"iap"
4,160,"iap"
6,20,"iap"
16,20,"iap"
6,110,"iap"
7,145,"iap"
5,0,"iap"
7,0,"iap"
273,16,"iap"
37,70,"iap"
4,40,"iap"
43,765,"iap"
4,25,"iap"
0,360,"iap"
48,65,"iap"
7,20,"iap"
5,25,"iap"
11,35,"iap"
0,700,"iap"
0,0,"iap"
34,549,"iap"
40,183,"iap"
2,0,"iap"
5,125,"iap"
1,0,"iap"
1,120,"iap"
0,500,"iap"
6,58,"iap"
1,50,"iap"
10,105,"iap"
241,195,"iap"
6,25,"iap"
15,10,"iap"
11,25,"iap"
29,80,"iap"
7,40,"iap"
213,191,"iap"
6,5,"iap"
4,200,"iap"
13,100,"iap"
6,50,"iap"
5,75,"iap"
14,5,"iap"
27,3,"iap"
253,71,"iap"
1315,1450,"iap"
57,10,"iap"
6,40,"iap"
9,20,"iap"
7,5,"iap"
1,10,"iap"
11,194,"iap"
4,45,"iap"
8,60,"iap"
1152,599,"iap"
213,6,"iap"
8,19,"iap"
27,115,"iap"
5,45,"iap"
2,75,"iap"
3,5,"iap"
3,10,"iap"
8,115,"iap"
7,0,"iap"
39,103,"iap"
7,110,"iap"
3,60,"iap"
5,75,"iap"
81,80,"iap"
1,20,"iap"
3,25,"iap"
1815,352,"iap"
4,20,"iap"
23,47,"iap"
2,70,"iap"
18,30,"iap"
52,70,"iap"
5,10,"iap"
23,104,"iap"
2,0,"iap"
6,100,"iap"
20,10,"iap"
19,90,"iap"
2,110,"iap"
0,500,"iap"
15,11,"iap"
5,40,"iap"
11,210,"iap"
44,67,"iap"
57,19,"iap"
13,20,"iap"
7,20,"iap"
67,940,"iap"
65,70,"iap"
8,66,"iap"
14,30,"iap"
5,10,"iap"
3,5,"iap"
61,130,"iap"
4,90,"iap"
6,0,"iap"
1,0,"iap"
1,360,"iap"
25,148,"iap"
12,40,"iap"
43,59,"iap"
2,220,"iap"
10,90,"iap"
18,7,"iap"
2,10,"iap"
4,120,"iap"
72,23,"iap"
3,20,"iap"
1,20,"iap"
39,195,"iap"
4,50,"iap"
2,70,"iap"
0,0,"iap"
5,164,"iap"
4,160,"iap"
4,179,"iap"
5,0,"iap"
14,40,"iap"
6,375,"iap"
14,290,"iap"
60,2887,"iap"
9,90,"iap"
12,106,"iap"
6,0,"iap"
47,115,"iap"
25,99,"iap"
10,29,"iap"
